rewards_to_collect_till_now,projected_rewards_to_collect,rewards_till_now,projected_rewards,account,last_sync_time,last_sync_time_epoch,now_utc,now_epoch,last_redeem_time,last_redeem_time_epoch,last_collect_time,last_collect_time_epoch,basic_start,seed_start,program_end,actual_stake,virtual_stake,actual_base,virtual_base,last_sync_reward,total_boost,collected_rewards
3.3918540306763134,4968.564285990069,3659.0657338248066,8624.2381657842,\xac5b6d6b47f5d68f7daa1036fe73c844eb954334,2021-10-18T19:30:30+00:00,1634585430,2021-10-18T20:59:41+00:00,1634590781.373246,2021-09-19T17:40:50+00:00,1632073250,2021-10-18T19:30:30+00:00,1634585430,1627387200,1630065600,1642424400,60124.143000000000,0.000000000000000000000000000000000000,5787,7032,3655.6738797941300300,4755,3655.6738797941300300
331.0643985521979,4728.943000044679,3837.8446075253078,8235.72320901779,\x9254dc142566bbdefa0d44411d67cc47d3ce41bf,2021-10-12T01:13:50+00:00,1634001230,2021-10-18T20:59:41+00:00,1634590781.373246,2021-09-18T05:27:15+00:00,1631942835,2021-10-12T01:11:20+00:00,1634001080,1627387200,1630065600,1642424400,60536.000000000000,0.000000000000000000000000000000000000,5787,7032,3506.8640616989100000,3487,3506.7802089731100000
94.18884603890228,5355.212583664124,2856.488143725033,8117.511881350255,\x4b11f86a69ed65e8e2266d936c55dc66f43da055,2021-10-17T06:02:15+00:00,1634450535,2021-10-18T20:59:41+00:00,1634590781.373246,,0,2021-10-17T06:02:15+00:00,1634450535,1627387200,1630065600,1642424400,116052.461000000000,0.000000000000000000000000000000000000,5787,7032,2762.2992976861303980,0,2762.2992976861303980
1332.1525404311992,8013.929456528668,1332.1525404311992,8013.929456528668,\x768f2a7ccdfde9ebdfd5cea8b635dd590cb3a3f1,2021-09-30T19:09:45+00:00,1633028985,2021-10-18T20:59:41+00:00,1634590781.373246,,0,,0,1627387200,1630065600,1642424400,147392.730700000000,0.000000000000000000000000000000000000,5787,7032,0.000000000000000000000000000000000000,0,0
189.84827403234794,4642.256757484713,3536.765911708941,7989.174395161305,\xeb4872b4c995f6613077090438eae69cfeff142f,2021-10-15T00:14:25+00:00,1634256865,2021-10-18T20:59:41+00:00,1634590781.373246,2021-09-19T22:49:00+00:00,1632091740,2021-10-15T00:12:40+00:00,1634256760,1627387200,1630065600,1642424400,53914.994498562141,0.000000000000000000000000000000000000,5787,7032,3346.9772375544044215,4755,3346.9176376765931111
347.2769520648635,4663.705786367525,3588.6913097451234,7905.120144047785,\xd8b00122b6cc0d44fb3198fb675635272d516b7f,2021-10-11T13:55:30+00:00,1633960530,2021-10-18T20:59:41+00:00,1634590781.373246,2021-09-18T06:20:10+00:00,1631946010,2021-10-11T13:55:30+00:00,1633960530,1627387200,1630065600,1642424400,52268.393100000000,0.000000000000000000000000000000000000,5787,7032,3241.4143576802600155,4755,3241.4143576802600155
636.0814309446569,4957.43272271394,3492.353293006387,7813.704584775671,\x960cc811e5ef36760f5c679af90e821b10385e04,2021-10-05T12:43:45+00:00,1633437825,2021-10-18T20:59:41+00:00,1634590781.373246,2021-09-20T12:04:15+00:00,1632139455,2021-10-05T12:41:50+00:00,1633437710,1627387200,1630065600,1642424400,52328.000000000000,0.000000000000000000000000000000000000,5787,7032,2856.3343916184700000,4755,2856.2718620617300000
3732.281928623437,7795.754102774846,3732.281928623437,7795.754102774846,\xa93609d2c8ddbd3b776e24fc4098be997d3ff7f8,2021-07-28T14:30:05+00:00,1627482605,2021-10-18T20:59:41+00:00,1634590781.373246,2021-07-28T14:30:05+00:00,1627482605,,0,1627387200,1630065600,1642424400,57912.497100000000,0.000000000000000000000000000000000000,5787,7032,45.1127826812652075,3170,0
3711.330034135783,7747.259189238442,3711.330034135783,7747.259189238442,\xffd2a8f4275e76288d31dbb756ce0e6065a3d766,2021-07-25T18:23:45+00:00,1627237425,2021-10-18T20:59:41+00:00,1634590781.373246,,0,,0,1627387200,1630065600,1642424400,89028.207100000000,0.000000000000000000000000000000000000,5787,7032,0.000000000000000000000000000000000000,0,0
3625.8284212043864,7619.236842756586,3655.7062516836877,7649.1146732358875,\x253c65df365f451caf756f224dd124277a959430,2021-07-28T13:21:00+00:00,1627478460,2021-10-18T20:59:41+00:00,1634590781.373246,2021-07-28T13:21:00+00:00,1627478460,2021-07-28T13:14:50+00:00,1627478090,1627387200,1630065600,1642424400,56913.950365749487,0.000000000000000000000000000000000000,5787,7032,29.9994842258258137,3170,29.8778304793011750
147.9297530421045,4275.818857924,3380.5855164743143,7508.47462135621,\x56d53a4402a7b8f4ad027cfb421ff60e865f665b,2021-10-15T15:02:35+00:00,1634310155,2021-10-18T20:59:41+00:00,1634590781.373246,2021-09-23T21:00:35+00:00,1632430835,2021-10-15T15:00:50+00:00,1634310050,1627387200,1630065600,1642424400,51535.000000000000,0.000000000000000000000000000000000000,5787,7032,3232.7107469893350000,4438,3232.6557634322100000
847.9270823408574,4738.50433584138,3521.6037966286403,7412.181050129164,\x50b13b54c917171a03ceb8216f3990535fc18097,2021-09-29T03:14:25+00:00,1632885265,2021-10-18T20:59:41+00:00,1634590781.373246,2021-07-26T17:53:15+00:00,1627321995,2021-09-29T02:44:40+00:00,1632883480,1627387200,1630065600,1642424400,55448.403300000000,0.000000000000000000000000000000000000,5787,7032,2674.5567902092201240,3170,2673.6767142877827295
30.975582313697032,4008.7696166999995,3433.067863307497,7410.8618976938,\x03f182ec7474877ec8d830a5fcb804fd132755c1,2021-10-18T04:03:00+00:00,1634529780,2021-10-18T20:59:41+00:00,1634590781.373246,2021-09-18T13:33:30+00:00,1631972010,2021-10-18T04:03:00+00:00,1634529780,1627387200,1630065600,1642424400,51250.000000000000,0.000000000000000000000000000000000000,5787,7032,3402.0922809938000000,4121,3402.0922809938000000
456.00683380520786,4454.885295880942,3293.05164065937,7291.930102735105,\xd0b744a3cee6c07814a889ecd4ebb3da1d4252d1,2021-10-08T12:51:25+00:00,1633697485,2021-10-18T20:59:41+00:00,1634590781.373246,2021-09-17T21:55:00+00:00,1631915700,2021-10-08T12:51:25+00:00,1633697485,1627387200,1630065600,1642424400,48423.120000000000,0.000000000000000000000000000000000000,5787,7032,2837.0448068541624000,4755,2837.0448068541624000
383.6772954489684,4110.623533244403,3261.3952945243477,6988.341532319782,\x2916d837b5f3d4e83df9c6db717356bd89c6e9a5,2021-10-09T12:59:55+00:00,1633784395,2021-10-18T20:59:41+00:00,1634590781.373246,2021-09-17T17:10:00+00:00,1631898600,2021-10-09T12:58:55+00:00,1633784335,1627387200,1630065600,1642424400,51300.737900000000,0.000000000000000000000000000000000000,5787,7032,2877.7464595256210025,3487,2877.7179990753793305
