g_time,message,node_time
2021-12-13 23:01:32.153463+00:00,"2021-12-13T23:01:31.012Z hopr:cover-traffic strategy tick: 1639436491012 balance:5833942472499236912 open: close: 
",2021-12-13T23:01:31.012Z
2021-12-13 23:01:47.288357+00:00,"2021-12-13T23:01:42.137Z hopr:cover-traffic strategy tick: 1639436502137 balance:5833942472499236912 open: close: 
",2021-12-13T23:01:42.137Z
2021-12-13 23:01:57.278549+00:00,"2021-12-13T23:01:53.264Z hopr:cover-traffic strategy tick: 1639436513264 balance:5833942472499236912 open: close: 
",2021-12-13T23:01:53.264Z
2021-12-13 23:02:08.439213+00:00,"2021-12-13T23:02:04.318Z hopr:cover-traffic strategy tick: 1639436524318 balance:5833942472499236912 open: close: 
",2021-12-13T23:02:04.318Z
2021-12-13 23:02:18.321754+00:00,"2021-12-13T23:02:15.428Z hopr:cover-traffic strategy tick: 1639436535428 balance:5833942472499236912 open: close: 
",2021-12-13T23:02:15.428Z
2021-12-13 23:02:28.364140+00:00,"2021-12-13T23:02:26.587Z hopr:cover-traffic strategy tick: 1639436546587 balance:5833942472499236912 open: close: 
",2021-12-13T23:02:26.587Z
2021-12-13 23:02:38.315003+00:00,"2021-12-13T23:02:37.688Z hopr:cover-traffic strategy tick: 1639436557688 balance:5833942472499236912 open: close: 
",2021-12-13T23:02:37.688Z
2021-12-13 23:02:53.489645+00:00,"2021-12-13T23:02:48.791Z hopr:cover-traffic strategy tick: 1639436568791 balance:5833942472499236912 open: close: 
",2021-12-13T23:02:48.791Z
2021-12-13 23:03:03.525925+00:00,"2021-12-13T23:03:00.141Z hopr:cover-traffic strategy tick: 1639436580141 balance:5833942472499236912 open: close: 
",2021-12-13T23:03:00.141Z
2021-12-13 23:03:13.512479+00:00,"2021-12-13T23:03:11.212Z hopr:cover-traffic strategy tick: 1639436591212 balance:5833942472499236912 open: close: 
",2021-12-13T23:03:11.212Z
2021-12-13 23:03:23.510672+00:00,"2021-12-13T23:03:22.311Z hopr:cover-traffic strategy tick: 1639436602311 balance:5833942472499236912 open: close: 
",2021-12-13T23:03:22.311Z
2021-12-13 23:03:38.528173+00:00,"2021-12-13T23:03:33.429Z hopr:cover-traffic strategy tick: 1639436613429 balance:5833942472499236912 open: close: 
",2021-12-13T23:03:33.429Z
2021-12-13 23:03:48.572576+00:00,"2021-12-13T23:03:44.559Z hopr:cover-traffic strategy tick: 1639436624559 balance:5833942472499236912 open: close: 
",2021-12-13T23:03:44.559Z
2021-12-13 23:03:58.455229+00:00,"2021-12-13T23:03:55.644Z hopr:cover-traffic strategy tick: 1639436635644 balance:5833942472499236912 open: close: 
",2021-12-13T23:03:55.644Z
2021-12-13 23:04:08.379750+00:00,"2021-12-13T23:04:06.807Z hopr:cover-traffic strategy tick: 1639436646807 balance:5833942472499236912 open: close: 
",2021-12-13T23:04:06.807Z
2021-12-13 23:04:19.533057+00:00,"2021-12-13T23:04:17.899Z hopr:cover-traffic strategy tick: 1639436657898 balance:5833942472499236912 open: close: 
",2021-12-13T23:04:17.899Z
2021-12-13 23:04:29.611276+00:00,"2021-12-13T23:04:29.038Z hopr:cover-traffic strategy tick: 1639436669037 balance:5833942472499236912 open: close: 
",2021-12-13T23:04:29.038Z
2021-12-13 23:04:45.239878+00:00,"2021-12-13T23:04:40.205Z hopr:cover-traffic strategy tick: 1639436680205 balance:5833942472499236912 open: close: 
",2021-12-13T23:04:40.205Z
2021-12-13 23:04:55.261861+00:00,"2021-12-13T23:04:51.303Z hopr:cover-traffic strategy tick: 1639436691303 balance:5833942472499236912 open: close: 
",2021-12-13T23:04:51.303Z
2021-12-13 23:05:05.263906+00:00,"2021-12-13T23:05:02.406Z hopr:cover-traffic strategy tick: 1639436702405 balance:5833942472499236912 open: close: 
",2021-12-13T23:05:02.406Z
2021-12-13 23:05:15.272222+00:00,"2021-12-13T23:05:13.623Z hopr:cover-traffic strategy tick: 1639436713623 balance:5833942472499236912 open: close: 
",2021-12-13T23:05:13.623Z
2021-12-13 23:05:25.262163+00:00,"2021-12-13T23:05:24.690Z hopr:cover-traffic strategy tick: 1639436724690 balance:5833942472499236912 open: close: 
",2021-12-13T23:05:24.690Z
2021-12-13 23:05:40.310023+00:00,"2021-12-13T23:05:35.794Z hopr:cover-traffic strategy tick: 1639436735794 balance:5833942472499236912 open: close: 
",2021-12-13T23:05:35.794Z
2021-12-13 23:05:50.388173+00:00,"2021-12-13T23:05:46.982Z hopr:cover-traffic strategy tick: 1639436746982 balance:5833942472499236912 open: close: 
",2021-12-13T23:05:46.982Z
2021-12-13 23:06:00.376807+00:00,"2021-12-13T23:05:58.079Z hopr:cover-traffic strategy tick: 1639436758079 balance:5833942472499236912 open: close: 
",2021-12-13T23:05:58.079Z
2021-12-13 23:06:10.421101+00:00,"2021-12-13T23:06:09.162Z hopr:cover-traffic strategy tick: 1639436769162 balance:5833942472499236912 open: close: 
",2021-12-13T23:06:09.162Z
2021-12-13 23:06:25.445400+00:00,"2021-12-13T23:06:20.340Z hopr:cover-traffic strategy tick: 1639436780340 balance:5833942472499236912 open: close: 
",2021-12-13T23:06:20.340Z
2021-12-13 23:06:35.467270+00:00,"2021-12-13T23:06:31.438Z hopr:cover-traffic strategy tick: 1639436791438 balance:5833942472499236912 open: close: 
",2021-12-13T23:06:31.438Z
